panel,case_id,algorithm,iteration,equilibrium_residual,tolerance,wall_clock_seconds,demand,terminal_residual,iterations,converged,final_solution_distance,scenario_count,selected_first_action_profile,in_sample_objective,out_of_sample_objective,paired_standard_error,confidence_half_width,action_switch_indicator,precision_target,precision_target_met
A_residual_trace,production_problem_0,Conventional MSA,0.0,0.5867389652145829,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,1.0,0.027518558977047552,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,2.0,0.010969394306438788,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,3.0,0.0066433132275684195,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,4.0,0.0046872152551393825,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,5.0,0.0035858430533545907,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,6.0,0.0028848498997156085,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,7.0,0.002402044804313939,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,8.0,0.0020506268327348852,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,9.0,0.0017841632500844268,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,10.0,0.0015756461038552287,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,11.0,0.0014083347439327388,1e-06,0.04681129986420274,,,,,,,,,,,,,,
A_residual_trace,production_problem_0,Conventional MSA,12.0,0.001271320391778796,1e-06,0.04681129986420274,,,,,,,,,,,,,,
